text,polarity
switchfoot httptwitpiccomyzl  awww thats a bummer  you shoulda got david carr of third day to do it d,0
is upset that he cant update his facebook by texting it and might cry as a result  school today also blah,0
kenichan i dived many times for the ball managed to save   the rest go out of bounds,0
my whole body feels itchy and like its on fire ,0
nationwideclass no its not behaving at all im mad why am i here because i cant see you all over there ,0
kwesidei not the whole crew ,0
need a hug ,0
loltrish hey  long time no see yes rains a bit only a bit  lol  im fine thanks  hows you ,0
tatianak nope they didnt have it ,0
twittera que me muera  ,0
spring break in plain city its snowing ,0
i just repierced my ears ,0
caregiving i couldnt bear to watch it  and i thought the ua loss was embarrassing     ,0
octolinz it it counts idk why i did either you never talk to me anymore ,0
smarrison i wouldve been the first but i didnt have a gun    not really though zac snyders just a doucheclown,0
iamjazzyfizzle i wish i got to watch it with you i miss you and iamlilnicki  how was the premiere,0
hollis death scene will hurt me severely to watch on film  wry is directors cut not out now,0
about to file taxes ,0
lettya ahh ive always wanted to see rent  love the soundtrack,0
fakerpattypattz oh dear were you drinking out of the forgotten table drinks ,0
alydesigns i was out most of the day so didnt get much done ,0
one of my friend called me and asked to meet with her at mid valley todaybut ive no time sigh ,0
angrybarista i baked you a cake but i ated it ,0
this week is not going as i had hoped ,0
blagh class at  tomorrow ,0
i hate when i have to call and wake people up ,0
just going to cry myself to sleep after watching marley and me  ,0
im sad now  misslilly,0
ooooh lol  that leslie and ok i wont do it again so leslie wont  get mad again ,0
meh almost lover is the exception this track gets me depressed every time ,0
some hacked my account on aim  now i have to make a new one,0
alielayus i want to go to promote gear and groove but unfornately no ride there  i may b going to the one in anaheim in may though,0
thought sleeping in was an option tomorrow but realizing that it now is not evaluations in the morning and work in the afternoon ,0
julieebaby awe i love you too  am here  i miss you,0
humpninja i cry my asian eyes to sleep at night ,0
ok im sick and spent an hour sitting in the shower cause i was too sick to stand and held back the puke like a champ bed now ,0
cocomix ill tell ya the story later  not a good day and ill be workin for like three more hours,0
missxu sorry bed time came here gmt   httpisgdfnge,0
fleurylis i dont either its depressing i dont think i even want to know about the kids in suitcases ,0
bed class  work  gym  or  then class  another day thats gonna fly by i miss my girlfriend ,0
really dont feel like getting up today but got to study to for tomorrows practical exam ,0
hes the reason for the teardrops on my guitar the only one who has enough of me to break my heart ,0
sad sad sad i dont know why but i hate this feeling  i wanna sleep and i still cant,0
jonathanrknight awww i soo wish i was there to see you finally comfortable im sad that i missed it ,0
falling asleep just heard about that tracy girls body being found how sad  my heart breaks for that family,0
viennah yay im happy for you with your job but that also means less time for me and you ,0
just checked my user timeline on my blackberry it looks like the twanking is still happening  are ppl still having probs w bgs and uids,0
oh manwas ironing jeancjumbes fave top to wear to a meeting burnt it ,0
is strangely sad about lilo and samro breaking up ,0
tea oh im so sorry  i didnt think about that before retweeting,0
broadband plan a massive broken promise httptinyurlcomdcuc via wwwdiigocomtautao still waiting for broadband we are ,0
localtweeps wow tons of replies from you may have to unfollow so i can see my friends tweets youre scrolling the feed a lot ,0
our duck and chicken are taking wayyy too long to hatch ,0
put vacation photos online a few yrs ago pc crashed and now i forget the name of the site ,0
i need a hug ,0
andywana not sure what they are only that they are pos as much as i want to i dont think can trade away company assets sorry andy ,0
oanhlove i hate when that happens ,0
i have a sad feeling that dallas is not going to show up  i gotta say though youd think more shows would use music from the game mmm,0
ugh degrees tomorrow ,0
where did u move to  i thought u were already in sd  hmmm random u found me glad to hear yer doing well,0
batmanyng i miss my ps its out of commission  wutcha playing have you copped blood on the sand,0
just leaving the parking lot of work ,0
the life is cool but not for me ,0
sadly though ive never gotten to experience the post coitus cigarette before and now i never will ,0
i had such a nice day too bad the rain comes in tomorrow at am ,0
starrbby too bad i wont be around i lost my job and cant even pay my phone bill lmao aw shucks ,0
damm back to school tomorrow ,0
mo jobs no money  how in the hell is min wage here  fn clams an hour,0
katortiz  not forever see you soon,0
ltalgonquin agreed i saw the failwhale allllll day today ,0
jdarter oh haha dude i dont really look at em unless someone says hey i added you sorry  im so terrible at that i need a pop up,0
ninjen im sure youre right    i need to start working out with you and the nikster or jared at least,0
i really hate how people diss my bands  trace is clearly not ugly,0
gym attire today was puma singlet adidas shortsand black business socks and leather shoes  lucky did not run into any cute girls,0
why wont you show my location   httptwitpiccomyes,0
no picnic  my phone smells like citrus,0
